Celebrity name,IG profile,fb profile,Twitter profile,Gender,Age,DOB,Ethnicity,Interest,Sexual orientation,Current city
Cristiano Ronaldo,https://www.instagram.com/cristiano,https://www.facebook.com/Cristiano,https://twitter.com/Cristiano?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,M,36.0,05/02/1985,Caucasian,Sport,Heterosexual,Manchester
"Dwayne Johnson,https://www.instagram.com/therock,https://www.facebook.com/DwayneJohnson,https://twitter.com/therock,M,49,02/05/1972,African American,""Sport, Acting"",Heterosexual,Los Angeles",,,,,,,,,,
Lionel Messi,https://www.instagram.com/leomessi,https://www.facebook.com/leomessi,https://twitter.com/wearemessi,M,34.0,24/06/1987,Caucasian,Sport,Heterosexual,Barcellona
"Justin Bieber,https://www.instagram.com/justinbieber,https://www.facebook.com/JustinBieber,https://twitter.com/justinbieber,M,27,01/03/1994,Caucasian,""Music, Acting"",Heterosexual,Brooklyn",,,,,,,,,,
Neymar jr,https://www.instagram.com/neymarjr,https://www.facebook.com/neymarjr,https://twitter.com/neymarjr,M,29.0,5/2/1992,African American,Sport,Heterosexual,Bougival (FR)
"Kevin Hart,https://www.instagram.com/kevinhart4real,https://www.facebook.com/hartkevin,https://twitter.com/kevinhart4real,M,42,6/7/1979,African American,""Acting, comedian"",Heterosexual,California",,,,,,,,,,
Virat Kohli,https://www.instagram.com/virat.kohli,https://www.facebook.com/virat.kohli,https://twitter.com/imvkohli,M,33.0,5/11/1988,Indian,Sport,Heterosexual,Mumbai
Lebron James,https://www.instagram.com/kingljames,https://www.facebook.com/LeBron,https://twitter.com/kingjames,M,36.0,30/12/1984,African American,Sport,Heterosexual,Beverly hills
"Aubrey Drake Graham,https://www.instagram.com/champagnepapi,https://www.facebook.com/DrakefanclubIT,https://twitter.com/Drake,M,35,24/10/1986,African American,""Acting, Music"",Heterosexual,Toronto",,,,,,,,,,
"Vin Diesel,https://www.instagram.com/vindiesel,https://www.facebook.com/VinDiesel,https://twitter.com/vindiesel,M,54,18/06/1967,Caucasian,""Acting, Music, Sport"",Heterosexual,Hollywood",,,,,,,,,,
David Beckham,https://www.instagram.com/davidbeckham,https://www.facebook.com/Beckham,https://twitter.com/davibeckham24x7,M,46.0,2/5/1975,caucasian,Sport,Heterosexual,London
"Justin Timberlake,https://www.instagram.com/gigihadid,https://www.facebook.com/justintimberlake,https://twitter.com/jtimberlake,M,40,31/05/1981,caucasian,""Music, Dance, acting"",Heterosexual,Hollywood",,,,,,,,,,
"Shawn Mendes,https://www.instagram.com/shawnmendes,https://www.facebook.com/ShawnMendesOfficial,https://twitter.com/shawnmendes,M,23,8/8/1998,caucasian,""music, fashion"",Heterosexual,Los Angeles",,,,,,,,,,
MALUMA,https://www.instagram.com/maluma,https://www.facebook.com/MALUMAMUSIK,https://twitter.com/maluma,M,27.0,28/01/1994,caucasian,Music,Heterosexual,Medellin (colombia)
"snoopdogg,https://www.instagram.com/snoopdogg,https://www.facebook.com/snoopdogg,https://twitter.com/snoopdogg,M,50,20/10/1971,African American,""Music, Acting"",Heterosexual, Los angeles",,,,,,,,,,
Ronaldo de Assis Moreira,https://www.instagram.com/ronaldinho,https://www.facebook.com/ronaldinho,https://twitter.com/10ronaldinho,M,41.0,21/3/1980,African American,Sport,Heterosexual,Porto Alegre (Brazil)
Narendra Modi,https://www.instagram.com/narendramodi.club,https://www.google.com/search?q=narendra+modi+facebook&sxsrf=AOaemvKX9x5vq_cRsGu6KEHSyx6zGuwtwA%3A1633984085383&ei=VZ5kYf7sFsSWsAefp7rQBA&oq=narendra+modi+facebook&gs_lcp=Cgdnd3Mtd2l6EAEYATIFCAAQywEyBQgAEMsBMgUIABDLATIFCAAQywEyBQgAEMsBMgUIABDLATIFCAAQywEyBQgAEMsBMgUIABDLATIFCAAQywE6BwgjELADECc6BwgAEEcQsAM6EAguEMcBENEDEMgDELADEEM6CgguEMgDELADEEM6BQguEMsBSgUIOBIBMUoECEEYAFCYDliPF2CIJGgCcAJ4AIABe4gBwgKSAQMxLjKYAQCgAQHIAQ7AAQE&sclient=gws-wiz,https://twitter.com/narendramodi,M,71.0,17/9/1950,Indian,Politics,Heterosexual,New Delhi
"Raffi Ahmad,https://www.instagram.com/raffinagita1717/,,https://twitter.com/raffiahmadlagi,M,34,17/02/1987,Indian,""Acting, Music"",Heterosexual,Jakarta",,,,,,,,,,
"Whindersson Nunes,https://www.instagram.com/whinderssonnunes,https://www.facebook.com/whinderssonnunesoficial,https://twitter.com/whindersson,M,26,05/01/1995,caucasian,""Acting, Music"",Heterosexual,Brasil",,,,,,,,,,
Robert Downey Jr,https://www.instagram.com/robertdowneyjr,https://www.facebook.com/robertdowneyjr,https://twitter.com/robertdowneyjr,M,56.0,4/4/1965,Caucasian,Acting,Heterosexual,Malibu
Akshay Kumar,https://www.instagram.com/akshaykumar,https://www.facebook.com/akshaykumarofficial,https://twitter.com/akshaykumar,M,54.0,9/9/1967,Indian,Acting,Heterosexual,Mumbai
Leonardo DiCaprio,https://www.instagram.com/leonardodicaprio,https://www.facebook.com/LeonardoDiCaprio,https://twitter.com/leodicaprio?lang=it,M,46.0,11/11/1974,Caucasian,Acting,Heterosexual,Los Angeles
Chris Hemsworth,https://www.instagram.com/chrishemsworth,https://www.facebook.com/chrishemsworth,https://twitter.com/chrishemsworth,M,38.0,11/08/1983,Caucasian,Acting,Heterosexual,Byron Bay (australia)
Zlatan Ibrahimovic,https://www.instagram.com/iamzlatanibrahimovic,https://www.facebook.com/10Jamesrodriguez,https://twitter.com/Ibra_official?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,M,40.0,3/10/1981,Caucasian,Sport,Heterosexual,Milan
James Rodriguez,https://www.instagram.com/jamesrodriguez10,https://www.facebook.com/10Jamesrodriguez,https://twitter.com/jamesdrodriguez,M,30.0,12/7/1991,Other(colombia),Sport,Heterosexual,Madrid
Marcelo Vieira Jr,https://www.instagram.com/marcelotwelve,https://m.facebook.com/profile.php?id=100007967251304,https://twitter.com/marcelom12,M,33.0,12/5/1988,Other(brazil),Sport,Heterosexual,Madrid
J Balvin,https://www.instagram.com/jbalvin,https://www.facebook.com/JBalvinOficial,https://twitter.com/jbalvin,M,36.0,7/5/1985,Other(colombia),Music,Heterosexual,Colombia
"Zac Efron,https://www.instagram.com/zacefron,https://www.facebook.com/ZacEfron,https://twitter.com/zacefron,M,34,18/10/1987,Caucasian,""Acting, Music"",Heterosexual,Australia",,,,,,,,,,
"Will Smith,https://www.instagram.com/iwillsmith,https://www.facebook.com/WillSmith/,https://twitter.com/willsmith,M,53,25/9/1968,African American,""Acting, Music"",Heterosexual,California",,,,,,,,,,
Gareth Bale,https://www.instagram.com/garethbale11,https://www.facebook.com/Bale,https://twitter.com/garethbale11,M,32.0,16/7/1989,caucasian,Sport,Heterosexual,Madrid
Sergio Ramos,https://www.instagram.com/sergioramos,https://www.facebook.com/SergioRamosOficial,https://twitter.com/sergioramos,M,35.0,30/3/1986,caucasian,Sport,Heterosexual,Madrid
Paul Labile Pogba,https://www.instagram.com/paulpogba,https://www.facebook.com/PaulPogba,https://twitter.com/paulpogba,M,28.0,15/3/1993,African American,Sport,Heterosexual,Manchester
"Daddy Yankee,https://www.instagram.com/daddyyankee,https://www.facebook.com/daddyyankee,https://twitter.com/daddy_yankee,M,45,3/2/1976,other(portorico),""Music, Acting"",Heterosexual,Puerto Rico",,,,,,,,,,
Paulo Dybala,https://www.instagram.com/paulodybala,https://www.facebook.com/paulodybala,https://twitter.com/paudybala_jr?lang=it,M,27.0,15/11/1993,other(Argentina),Sport,Heterosexual,Turin
Kylian Mbappe,https://www.instagram.com/k.mbappe,https://www.facebook.com/kylianmbappeofficiel,https://twitter.com/kmbappe,M,22.0,20/12/1998,African American,Sport,Heterosexual,Paris
Luis Suarez,https://www.instagram.com/luissuarez9,https://www.facebook.com/LuisSuarez9,https://twitter.com/luissuarez9,M,34.0,24/1/1987,other(uruguay),Sport,Heterosexual,castelldefels (Spain)
Zayn Malik,https://www.instagram.com/zradfordboy,https://www.facebook.com/zayn,https://twitter.com/zaynmalik,M,28.0,12/1/1993,caucasian,Music,Heterosexual,New York
Conor McGregor,https://www.instagram.com/thenotoriousmma,https://www.facebook.com/thenotoriousmma,https://twitter.com/thenotoriousmma,M,33.0,14/7/1988,caucasian,Sport,Heterosexual,Ireland
Salman Khan,https://www.instagram.com/everythingsalman,https://www.facebook.com/BeingSalmanKhan,https://twitter.com/beingsalmankhan,M,55.0,27/12/1965,indian,Acting,Heterosexual,Mumbai
Mohamed salah,https://www.instagram.com/mosalah,https://www.facebook.com/momosalah,https://twitter.com/mosalah,M,29.0,15/6/1992,other(Egypt),Sport,Heterosexual,Egypt
Gusttavo Lima,https://www.instagram.com/gusttavolima,https://www.facebook.com/gusttavolimaoficial,https://twitter.com/gusttavo_lima,M,32.0,3/9/1989,caucasian,Music,Heterosexual,goias (Brazil)
Karim Benzema,https://www.instagram.com/karimbenzema,,,M,33.0,19/12/1987,caucasian,sport,Heterosexual,Madrid
harry styles,https://www.instagram.com/harrystyles,https://www.facebook.com/harrystyles,https://twitter.com/harry_styles,M,27.0,1/2/1994,caucasian,music,bisexual,Hollywood
Ryan Reynolds,https://www.instagram.com/vancityreynolds,https://www.facebook.com/VancityReynolds,https://twitter.com/vancityreynolds,M,45.0,23/10/1976,caucasian,Acting,Heterosexual,Los Angeles
Andres Iniesta,https://www.instagram.com/andresiniesta8,https://www.facebook.com/AndresIniesta,https://twitter.com/andresiniesta8,M,37.0,11/5/1984,caucasian,Sport,Heterosexual,Spain
"Tom Holland,https://www.instagram.com/tomholland2013,https://www.facebook.com/RealTomHolland,https://twitter.com/tomholland1996,M,25,1/6/1996,caucasian,""Acting, Dance"",Heterosexual,London",,,,,,,,,,
Ranveer Singh,https://www.instagram.com/ranveersingh,https://www.facebook.com/RanveerSinghOfficial,https://twitter.com/ranveerofficial,M,36.0,6/7/1985,indian,Acting,Heterosexual,Mumbai
Barack Obama,https://www.instagram.com/barackobama,https://www.facebook.com/barackobama,https://twitter.com/barackobama,M,60.0,4/8/1961,African American,Politics,Heterosexual,Washington DC
Varun Dhawan,https://www.instagram.com/varundvn,https://www.facebook.com/VarunDhawan.co,https://twitter.com/varun_dvn,M,34.0,24/4/1987,indian,Acting,Heterosexual,Mumbai
Cole Sprouse,https://www.instagram.com/camera_duels,https://www.facebook.com/ColeSprouseFeed/,https://twitter.com/colesprouse,M,29.0,4/8/1992,caucasian,Acting,Heterosexual,California
Hrithik Roshan,https://www.instagram.com/hrithikroshan,https://www.facebook.com/hrithikroshan,https://twitter.com/ihrithik,M,47.0,10/1/1974,Indian,Acting,Heterosexual,Mumbai
Nusr_etSaltbae,https://www.instagram.com/nusr_et,https://www.facebook.com/realsaltbae/,https://twitter.com/nusr_et,M,38.0,9/8/1983,Caucasian,Cooking,Heterosexual,Instanbul
Wardell Curry,https://www.instagram.com/stephencurry30,https://www.facebook.com/ajd.tirrex,https://twitter.com/wardellscurry30,M,33.0,14/3/1988,African American,Sport,Heterosexual,North Carolina
Dan Bilzerian,https://www.instagram.com/danbilzerian,https://www.facebook.com/danbilzerianofficial,https://twitter.com/danbilzerian,M,40.0,7/12/1980,Caucasian,Sport,Heterosexual,California
Wesley Safadao,https://www.instagram.com/wesleysafadao,https://www.facebook.com/WesleySafadao,https://twitter.com/wesleysafadao,M,33.0,6/9/1988,Caucasian,Music,Heterosexual,Brasil
Antoine Griezmann,https://www.instagram.com/antogriezmann,https://www.facebook.com/AntoGriezmann,https://twitter.com/antogriezmann,M,30.0,21/3/1991,Caucasian,Sport,Heterosexual,Madrid
Wiz Khalifa,https://www.instagram.com/wizkhalifa,https://www.facebook.com/wizkhalifa,https://twitter.com/wizkhalifa,M,34.0,8/9/1987,African American,Music,heterosexual,Pittsburgh
Marshall Mathers,https://www.instagram.com/eminem,https://www.facebook.com/eminem,https://twitter.com/eminem,M,49.0,17/10/1972,Caucasian,Music,heterosexual,Michigan
Ed Sheeran,https://www.instagram.com/teddysphotos,https://www.facebook.com/EdSheeranMusic,https://twitter.com/edsheeran,M,30.0,17/2/1991,Caucasian,Music,heterosexual,London
Dani Alves,https://www.instagram.com/danialves,https://www.facebook.com/DaniAlvesD2/,https://twitter.com/danialvesd2,M,38.0,6/5/1983,Other(brazil),Sport,heterosexual,San Paolo
Joko Widodo,https://www.instagram.com/jokowi,https://www.facebook.com/Jokowi,https://twitter.com/jokowi,M,60.0,21/6/1961,Asian,Politics,heterosexual,Indonesia
Ruben Onsu,https://www.instagram.com/ruben_onsu,https://www.facebook.com/rubenonsuofficial,https://twitter.com/ruben_onsu,M,38.0,15/8/1983,Asian,Acting,heterosexual,Indonesia
Nick Jonas,https://www.instagram.com/nickjonas,https://www.facebook.com/nickjonas,https://twitter.com/nickjonas,M,29.0,16/9/1992,Caucasian,Music,heterosexual,Hollywood
chris pratt,https://www.instagram.com/prattprattpratt,https://www.facebook.com/PrattPrattPratt,https://twitter.com/prattprattpratt,M,42.0,21/6/1979,Caucasian,Acting,heterosexual,Los Angeles
Christopher Comstock,https://www.instagram.com/marshmellomusic,https://www.facebook.com/marshmellomusic,https://twitter.com/marshmellomusic,M,29.0,19/5/1992,Caucasian,Music,heterosexual,Los Angeles
Shahid Kapoor,https://www.instagram.com/shahidkapoor,https://www.facebook.com/shahidkapoor,https://twitter.com/shahidkapoor,M,40.0,25/2/1981,Indian,Acting,Heterosexual,Mumbai
